customId,coverage,hasGlobalHighlights,detailId,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,feedLocked,isEditor,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.uniqueTournament.fieldTranslations.nameTranslation.ar,tournament.uniqueTournament.fieldTranslations.nameTranslation.hi,tournament.uniqueTournament.fieldTranslations.nameTranslation.bn,tournament.priority,tournament.id,season.name,season.year,season.editor,season.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.alpha3,homeTeam.country.name,homeTeam.country.slug,homeTeam.entityType,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,homeTeam.fieldTranslations.nameTranslation.ar,homeTeam.fieldTranslations.nameTranslation.ru,homeTeam.fieldTranslations.nameTranslation.hi,homeTeam.fieldTranslations.nameTranslation.bn,homeTeam.fieldTranslations.shortNameTranslation.ar,homeTeam.fieldTranslations.shortNameTranslation.hi,homeTeam.fieldTranslations.shortNameTranslation.bn,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.alpha3,awayTeam.country.name,awayTeam.country.slug,awayTeam.entityType,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,awayTeam.fieldTranslations.nameTranslation.ar,awayTeam.fieldTranslations.nameTranslation.ru,awayTeam.fieldTranslations.nameTranslation.hi,awayTeam.fieldTranslations.nameTranslation.bn,awayTeam.fieldTranslations.shortNameTranslation.ar,awayTeam.fieldTranslations.shortNameTranslation.hi,awayTeam.fieldTranslations.shortNameTranslation.bn,changes.changeTimestamp,winnerCode,hasEventPlayerStatistics,hasEventPlayerHeatMap,awayRedCards,tournament.category.country.alpha2,tournament.category.country.alpha3,tournament.category.country.name,tournament.category.country.slug,tournament.category.alpha2,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.country.alpha2,tournament.uniqueTournament.category.country.alpha3,tournament.uniqueTournament.category.country.name,tournament.uniqueTournament.category.country.slug,tournament.uniqueTournament.category.alpha2,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,homeRedCards,lastPeriod,time.initial,time.max,time.extra,statusTime.prefix,statusTime.initial,statusTime.max,statusTime.timestamp,statusTime.extra,season.seasonCoverageInfo.editorCoverageLevel,roundInfo.name,roundInfo.cupRoundType,homeScore.extra1,homeScore.extra2,homeScore.overtime,awayScore.extra1,awayScore.extra2,awayScore.overtime,tournament.fieldTranslations.nameTranslation.ar,tournament.fieldTranslations.nameTranslation.hi,tournament.fieldTranslations.nameTranslation.bn
RscX,-1.0,True,1.0,True,12763958,1738188000,celtic-aston-villa,True,False,True,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,1302339,False,7,True,False,دوري أبطال أوروبا,यूईएफए चैंपियंस लीग,উয়েফা চ্যাম্পিয়ন্স লীগ,631,138314,UEFA Champions League 24/25,24/25,True,61644,8.0,0,Not started,notstarted,Aston Villa,aston-villa,Aston Villa,M,Football,football,1,872937,AVL,False,False,0,40,EN,ENG,England,england,team,[],#374df5,#374df5,#ffffff,أستون فيلا,Астон Вилла,एस्टन विला,অ্যাস্টন ভিলা,أستون فيلا,एस्टन विला,অ্যাস্টন ভিলা,Celtic,celtic,Celtic,M,Football,football,1,477790,CEL,False,True,0,2352,SX,SCO,Scotland,scotland,team,[],#374df5,#374df5,#ffffff,سلتيك,Селтик Глазго,सेल्टिक,সেল্টিক,سلتيك,सेल्टिक,সেল্টিক,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ldblrgb,-1.0,True,1.0,True,12764006,1738189800,barcelona-atalanta,False,True,True,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,1302339,True,7,True,False,دوري أبطال أوروبا,यूईएफए चैंपियंस लीग,উয়েফা চ্যাম্পিয়ন্স লীগ,631,138314,UEFA Champions League 24/25,24/25,True,61644,8.0,0,Not started,notstarted,Barcelona,barcelona,Barcelona,M,Football,football,1,3695040,FCB,True,False,0,2817,ES,ESP,Spain,spain,team,[],#374df5,#374df5,#ffffff,برشلونة,Барселона,बार्सिलोना,বার্সেলোনা,برشلونة,बार्सिलोना,বার্সেলোনা,Atalanta,atalanta,Atalanta,M,Football,football,1,794998,ATA,False,False,0,2686,IT,ITA,Italy,italy,team,[],#374df5,#374df5,#ffffff,أتالانتا,Аталанта,अटलांटा,আটলান্টা,أتالانتا,अटलांटा,আটলান্টা,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tUsNdb,-1.0,True,1.0,False,12764059,1738183500,bayer-04-leverkusen-ac-sparta-praha,False,True,False,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,1302339,True,7,False,True,دوري أبطال أوروبا,यूईएफए चैंपियंस लीग,উয়েফা চ্যাম্পিয়ন্স লীগ,631,138314,UEFA Champions League 24/25,24/25,True,61644,8.0,0,Not started,notstarted,Bayer 04 Leverkusen,bayer-04-leverkusen,Leverkusen,M,Football,football,1,1258527,B04,True,False,0,2681,DE,DEU,Germany,germany,team,[],#374df5,#374df5,#ffffff,باير 04 ليفركوزن,Байер Леверкузен,बायर 04 लेवरकुसेन,বায়ার 04 লেভারকুসেন,ليفركوزن,लेवरकुसेन,লেভারকুসেন,AC Sparta Praha,sparta-praha,Sparta Praha,M,Football,football,1,163109,SPA,False,False,0,2218,CZ,CZE,Czechia,czechia,team,[],#374df5,#374df5,#ffffff,سبارتا براها,Спарта Прага,स्पार्टा प्राहा,স্পার্টা প্রাহা,سبارتا براها,स्पार्टा प्राहा,স্পার্টা প্রাহা,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ydbpnqb,-1.0,True,1.0,False,12764152,1738180800,shakhtar-donetsk-borussia-dortmund,False,False,False,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,1302339,True,7,False,True,دوري أبطال أوروبا,यूईएफए चैंपियंस लीग,উয়েফা চ্যাম্পিয়ন্স লীগ,631,138314,UEFA Champions League 24/25,24/25,False,61644,8.0,0,Not started,notstarted,Borussia Dortmund,borussia-dortmund,Dortmund,M,Football,football,1,1440790,BVB,False,False,0,2673,DE,DEU,Germany,germany,team,[],#374df5,#374df5,#ffffff,بوروسيا دورتموند,Боруссия Дортмунд,बोरुसिया डॉर्टमुंड,বরুশিয়া ডর্টমুন্ড,دورتموند,डॉर्टमुंड,ডর্টমুন্ড,Shakhtar Donetsk,shakhtar-donetsk,Shakhtar,M,Football,football,1,214132,SHA,False,True,0,3313,UA,UKR,Ukraine,ukraine,team,[],#374df5,#374df5,#ffffff,شاختار دونيتسك,Шахтер Донецк,शख़्तर डोनेट्स्क,শাখতার ডোনেটস্ক,شاختار,शख़्तर,শাখতার,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bYsxdb,-1.0,False,1.0,False,12764084,1738179900,fc-bayern-munchen-sk-slovan-bratislava,False,True,True,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,1302339,True,7,False,True,دوري أبطال أوروبا,यूईएफए चैंपियंस लीग,উয়েফা চ্যাম্পিয়ন্স লীগ,631,138314,UEFA Champions League 24/25,24/25,True,61644,8.0,0,Not started,notstarted,FC Bayern München,fc-bayern-munchen,Bayern,M,Football,football,1,2021379,BAY,False,False,0,2672,DE,DEU,Germany,germany,team,[],#374df5,#374df5,#ffffff,نادي بايرن ميونخ,Бавария Мюнхен,एफसी बायर्न म्यूनिख,এফসি বায়ার্ন মুনচেন,بايرن,बायर्न,বায়ার্ন,ŠK Slovan Bratislava,sk-slovan-bratislava,Slovan,M,Football,football,1,78099,SLO,False,True,0,2404,SK,SVK,Slovakia,slovakia,team,[],#374df5,#374df5,#ffffff,أس كي سلوفان براتيسلافا,Слован Братислава,एसके स्लोवान ब्रातिस्लावा,এসকে স্লোভান ব্রাতিস্লাভা,سلوفان,स्लोवान,স্লোভান,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPsRdu,-1.0,False,1.0,False,12764222,1738183500,milan-gnk-dinamo-zagreb,True,False,True,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,1302339,False,7,True,True,دوري أبطال أوروبا,यूईएफए चैंपियंस लीग,উয়েফা চ্যাম্পিয়ন্স লীগ,631,138314,UEFA Champions League 24/25,24/25,True,61644,8.0,0,Not started,notstarted,GNK Dinamo Zagreb,gnk-dinamo-zagreb,Dinamo,M,Football,football,1,294889,DIN,False,True,0,2032,HR,HRV,Croatia,croatia,team,[],#374df5,#374df5,#ffffff,دينامو زغرب,Динамо Загреб,जीएनके डिनामो ज़ाग्रेब,জিএনকে দিনামো জাগরেব,دينامو,डिनामो,দিনামো,Milan,milan,Milan,M,Football,football,1,1586193,ACM,False,True,0,2692,IT,ITA,Italy,italy,team,[],#374df5,#374df5,#ffffff,ميلان,Милан,मिलान,মিলান,ميلان,मिलान,মিলান,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RsoLj,-1.0,False,1.0,True,12764241,1738171800,girona-fc-arsenal,False,False,False,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,1302339,False,7,False,False,دوري أبطال أوروبا,यूईएफए चैंपियंस लीग,উয়েফা চ্যাম্পিয়ন্স লীগ,631,138314,UEFA Champions League 24/25,24/25,False,61644,8.0,0,Not started,notstarted,Girona FC,girona-fc,Girona,M,Football,football,1,590509,GIR,False,False,0,24264,ES,ESP,Spain,spain,team,[],#374df5,#374df5,#ffffff,نادي جيرونا,Жирона,गिरोना एफसी,জিরোনা এফসি,جيرونا,गिरोना,জিরোনা,Arsenal,arsenal,Arsenal,M,Football,football,1,2334136,ARS,True,True,0,42,EN,ENG,England,england,team,[],#374df5,#374df5,#ffffff,ارسنال,Арсенал,आर्सेनल,আর্সেনাল,ارسنال,आर्सेनल,আর্সেনাল,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dIsXxb,-1.0,False,1.0,True,12764271,1738187100,inter-as-monaco,False,True,True,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,1302339,True,7,True,True,دوري أبطال أوروبا,यूईएफए चैंपियंस लीग,উয়েফা চ্যাম্পিয়ন্স লীগ,631,138314,UEFA Champions League 24/25,24/25,False,61644,8.0,0,Not started,notstarted,Inter,inter,Inter,M,Football,football,1,1538794,INT,True,False,0,2697,IT,ITA,Italy,italy,team,[],#374df5,#374df5,#ffffff,انتر,Интер,इंटर,ইন্টার,انتر,इंटर,ইন্টার,AS Monaco,as-monaco,AS Monaco,M,Football,football,1,513802,ASM,True,True,0,1653,MC,MCO,Monaco,monaco,team,[],#374df5,#374df5,#ffffff,أ.س موناكو,Монако,एएस मोनाको,এএস মোনাকো,أ.س موناكو,एएस मोनाको,এএস মোনাকো,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xdbsgkb,-1.0,True,1.0,True,12764277,1738179000,benfica-juventus,True,False,True,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,1302339,False,7,True,True,دوري أبطال أوروبا,यूईएफए चैंपियंस लीग,উয়েফা চ্যাম্পিয়ন্স লীগ,631,138314,UEFA Champions League 24/25,24/25,False,61644,8.0,0,Not started,notstarted,Juventus,juventus,Juventus,M,Football,football,1,1528547,JUV,False,False,0,2687,IT,ITA,Italy,italy,team,[],#374df5,#374df5,#ffffff,يوفنتوس,Ювентус,जुवेंटस,জুভেন্টাস,يوفنتوس,जुवेंटस,জুভেন্টাস,Benfica,benfica,Benfica,M,Football,football,1,817056,SLB,False,False,0,3006,PT,PRT,Portugal,portugal,team,[],#374df5,#374df5,#ffffff,بنفيكا,Бенфика,बेनफिका,বেনফিকা,بنفيكا,बेनफिका,বেনফিকা,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THyjjb,-1.0,True,1.0,True,12764296,1738189800,feyenoord-lille,True,False,False,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,1302339,True,7,False,True,دوري أبطال أوروبا,यूईएफए चैंपियंस लीग,উয়েফা চ্যাম্পিয়ন্স লীগ,631,138314,UEFA Champions League 24/25,24/25,True,61644,8.0,0,Not started,notstarted,Lille,lille,Lille,M,Football,football,1,355333,LOSC,False,False,0,1643,FR,FRA,France,france,team,[],#374df5,#374df5,#ffffff,ليل,Лилль,लिली,লিল,ليل,लिली,লিল,Feyenoord,feyenoord,Feyenoord,M,Football,football,1,463378,FEY,False,False,0,2959,NL,NLD,Netherlands,netherlands,team,[],#374df5,#374df5,#ffffff,فينورد,Фейеноорд Роттердам,फ़ेनोर्ड,ফেইনুর্ড,فينورد,फ़ेनोर्ड,ফেইনুর্ড,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
