league,year,split,patch,side,position,golddiffat25,xpdiffat25,csdiffat25,kills,assists,deaths,opp_killsat25,opp_assistsat25,opp_deathsat25
7,2025,5,15.01,1,3,2053.0,-387.0,-1.0,0,16,0,0.0,0.0,0.0
1,2025,6,15.02,0,4,2009.0,-696.0,-4.0,23,51,13,0.0,0.0,0.0
11,2025,4,15.02,1,5,-1065.0,175.0,-3.0,2,5,3,0.0,0.0,0.0
10,2025,4,15.02,1,1,0.0,0.0,0.0,11,7,1,0.0,0.0,0.0
8,2025,5,15.01,1,1,0.0,0.0,0.0,1,3,4,0.0,0.0,0.0
14,2025,5,15.02,0,3,1742.0,2178.0,14.0,1,11,0,0.0,0.0,0.0
3,2025,3,15.01,1,2,-421.0,-1.0,-7.0,2,4,1,0.0,0.0,0.0
12,2025,4,15.02,0,3,-225.0,165.0,-5.0,0,7,6,0.0,0.0,0.0
0,2025,5,15.01,1,1,12.0,1460.0,37.0,1,3,5,0.0,0.0,0.0
10,2025,4,15.01,0,1,0.0,0.0,0.0,6,17,3,0.0,0.0,0.0
4,2025,4,15.01,0,2,0.0,0.0,0.0,1,1,4,0.0,0.0,0.0
3,2025,3,15.01,1,0,-193.0,1263.0,30.0,3,13,4,0.0,0.0,0.0
13,2025,5,15.01,0,0,3599.0,1288.0,27.0,7,9,2,0.0,0.0,0.0
1,2025,6,15.02,1,3,-1169.0,-720.0,4.0,0,4,11,0.0,0.0,0.0
14,2025,5,15.01,0,1,-67.0,-137.0,-38.0,3,16,3,0.0,0.0,0.0
3,2025,3,15.01,1,0,-933.0,1343.0,-3.0,4,9,0,0.0,0.0,0.0
15,2025,5,15.01,0,2,1672.0,1379.0,43.0,4,9,2,0.0,0.0,0.0
15,2025,5,15.02,1,1,-270.0,-23.0,8.0,0,5,3,0.0,0.0,0.0
8,2025,5,15.01,0,1,1187.0,661.0,14.0,3,10,1,0.0,0.0,0.0
15,2025,5,15.02,0,4,832.0,1490.0,67.0,13,32,15,0.0,0.0,0.0
10,2025,4,15.01,1,5,0.0,0.0,0.0,2,6,1,0.0,0.0,0.0
3,2025,3,15.01,0,2,377.0,1585.0,52.0,11,7,1,0.0,0.0,0.0
7,2025,5,15.01,0,0,0.0,0.0,0.0,5,6,0,0.0,0.0,0.0
7,2025,5,15.01,0,1,1400.0,-183.0,-1.0,5,22,1,0.0,0.0,0.0
2,2025,0,15.01,1,5,1319.0,2344.0,45.0,2,9,0,0.0,0.0,0.0
1,2025,6,15.02,1,4,-2009.0,696.0,4.0,13,27,23,0.0,0.0,0.0
2,2025,0,15.01,0,1,-110.0,-2075.0,-39.0,9,8,4,0.0,0.0,0.0
9,2025,2,15.02,1,2,605.0,250.0,32.0,5,9,4,0.0,0.0,0.0
5,2025,5,15.01,0,5,-508.0,-570.0,-35.0,3,11,1,0.0,0.0,0.0
13,2025,5,15.01,1,1,-3276.0,-1068.0,-40.0,0,4,5,4.0,5.0,1.0
15,2025,5,15.02,1,3,157.0,1157.0,-16.0,0,14,6,0.0,0.0,0.0
9,2025,2,15.02,1,0,2215.0,1373.0,17.0,11,4,1,0.0,0.0,0.0
17,2025,5,15.01,1,4,3249.0,1275.0,-16.0,17,47,21,0.0,0.0,0.0
14,2025,5,15.01,0,1,-778.0,-1084.0,-32.0,1,0,6,0.0,0.0,0.0
6,2025,1,15.01,0,1,-727.0,-796.0,-14.0,2,12,2,0.0,0.0,0.0
7,2025,5,15.01,1,2,-2116.0,-2105.0,-51.0,3,4,4,0.0,0.0,0.0
11,2025,4,15.02,1,2,2939.0,1844.0,15.0,7,9,1,0.0,0.0,0.0
3,2025,3,15.01,1,0,-1769.0,-2095.0,-21.0,4,4,6,0.0,0.0,0.0
3,2025,3,15.01,0,2,-408.0,-353.0,1.0,1,0,2,1.0,0.0,2.0
8,2025,5,15.01,1,1,-1187.0,-661.0,-14.0,4,5,4,0.0,0.0,0.0
5,2025,5,15.01,0,0,1456.0,1462.0,29.0,3,3,0,0.0,0.0,0.0
5,2025,5,15.02,1,5,587.0,249.0,22.0,2,1,3,0.0,0.0,0.0
9,2025,2,15.02,0,4,13099.0,9573.0,104.0,17,40,6,0.0,0.0,0.0
10,2025,4,15.02,0,0,0.0,0.0,0.0,2,13,5,0.0,0.0,0.0
0,2025,5,15.01,0,2,2472.0,2669.0,62.0,13,3,2,0.0,0.0,0.0
1,2025,6,15.02,1,5,-2330.0,-357.0,-10.0,1,4,5,0.0,0.0,0.0
7,2025,5,15.01,0,4,1224.0,3386.0,32.0,22,56,9,0.0,0.0,0.0
2,2025,0,15.01,0,4,2667.0,556.0,-37.0,10,25,2,0.0,0.0,0.0
17,2025,5,15.01,0,3,513.0,-343.0,-4.0,0,15,3,0.0,0.0,0.0
17,2025,5,15.01,0,4,2954.0,2025.0,-8.0,24,57,12,0.0,0.0,0.0
2,2025,0,15.01,0,1,939.0,-338.0,31.0,6,5,2,0.0,0.0,0.0
9,2025,2,15.02,1,1,-1153.0,-868.0,-51.0,2,11,2,0.0,0.0,0.0
14,2025,5,15.01,0,3,-581.0,-764.0,11.0,0,5,1,0.0,0.0,0.0
10,2025,4,15.01,0,3,0.0,0.0,0.0,0,7,4,0.0,0.0,0.0
5,2025,5,15.01,0,4,8266.0,7165.0,125.0,29,57,9,0.0,0.0,0.0
3,2025,3,15.01,0,1,2147.0,2062.0,6.0,5,6,1,0.0,0.0,0.0
10,2025,4,15.01,0,4,0.0,0.0,0.0,7,20,20,0.0,0.0,0.0
7,2025,5,15.01,0,0,2119.0,2831.0,21.0,8,14,0,0.0,0.0,0.0
5,2025,5,15.02,0,5,315.0,857.0,9.0,1,6,0,0.0,0.0,0.0
8,2025,5,15.01,1,4,8290.0,5353.0,58.0,16,39,5,0.0,0.0,0.0
10,2025,4,15.01,1,0,0.0,0.0,0.0,4,5,1,0.0,0.0,0.0
2,2025,0,15.01,0,1,956.0,1498.0,13.0,4,10,1,0.0,0.0,0.0
10,2025,4,15.01,0,0,0.0,0.0,0.0,1,9,7,0.0,0.0,0.0
2,2025,0,15.01,1,1,1024.0,2031.0,22.0,2,10,1,0.0,0.0,0.0
10,2025,4,15.02,0,4,0.0,0.0,0.0,6,8,12,0.0,0.0,0.0
10,2025,4,15.01,0,4,0.0,0.0,0.0,19,61,7,0.0,0.0,0.0
0,2025,5,15.01,0,1,-12.0,-1460.0,-37.0,1,9,2,0.0,0.0,0.0
10,2025,4,15.01,1,2,0.0,0.0,0.0,6,11,2,0.0,0.0,0.0
3,2025,3,15.01,0,1,371.0,176.0,8.0,2,19,6,0.0,0.0,0.0
14,2025,5,15.01,0,1,-4522.0,-4777.0,-78.0,1,2,4,0.0,0.0,0.0
2,2025,0,15.01,1,3,1179.0,-348.0,-11.0,2,18,3,0.0,0.0,0.0
3,2025,3,15.01,0,3,-1143.0,-248.0,10.0,1,3,1,0.0,9.0,0.0
10,2025,4,15.01,0,4,0.0,0.0,0.0,17,41,20,0.0,0.0,0.0
2,2025,0,15.01,0,3,-292.0,-326.0,0.0,0,13,7,0.0,0.0,0.0
0,2025,5,15.01,1,5,-397.0,596.0,-7.0,1,10,2,0.0,0.0,0.0
2,2025,0,15.01,0,5,2001.0,4172.0,66.0,7,12,2,0.0,0.0,0.0
7,2025,5,15.01,1,3,-125.0,-344.0,1.0,1,14,4,0.0,0.0,0.0
14,2025,5,15.01,1,4,7216.0,5379.0,82.0,17,38,9,0.0,0.0,0.0
4,2025,4,15.01,1,3,0.0,0.0,0.0,1,12,2,0.0,0.0,0.0
